iter	RMSE
0	14.65121403
1	14.27964302
2	13.9040153
3	13.55206685
4	13.22179102
5	12.892405
6	12.61017109
7	12.30663026
8	12.00958673
9	11.71031093
10	11.42776833
11	11.20453652
12	10.95370818
13	10.71279419
14	10.49486214
15	10.28558955
16	10.06874015
17	9.873130886
18	9.677730488
19	9.501296418
20	9.311837851
21	9.13718203
22	8.973176295
23	8.825950271
24	8.670572426
25	8.533169525
26	8.403594506
27	8.28412173
28	8.159889861
29	8.036456172
30	7.905913108
31	7.78947823
32	7.674418979
33	7.579302798
34	7.480360222
35	7.396994807
36	7.305958158
37	7.219546997
38	7.136327147
39	7.048091407
40	6.976837402
41	6.908276346
42	6.834124405
43	6.777892144
44	6.720092936
45	6.651813048
46	6.584114614
47	6.528601033
48	6.473930581
49	6.418875579
50	6.364746722
51	6.311943863
52	6.264841177
53	6.220095508
54	6.178426377
55	6.136063611
56	6.097474173
57	6.062624884
58	6.02770874
59	5.991237001
60	5.956059181
61	5.92689082
62	5.899100497
63	5.869106258
64	5.837951417
65	5.814981648
66	5.792429834
67	5.768884351
68	5.749766493
69	5.73166002
70	5.707793565
71	5.684694733
72	5.662498483
73	5.640896061
74	5.618281712
75	5.599328025
76	5.58050408
77	5.564332524
78	5.548896954
79	5.530856076
80	5.51492974
81	5.503023419
82	5.489355801
83	5.472901716
84	5.454880174
85	5.437707308
86	5.425786213
87	5.407364009
88	5.392918566
89	5.381931401
90	5.372082625
91	5.357293867
92	5.343546714
93	5.338856496
94	5.328695162
95	5.320420246
96	5.31231769
97	5.302697685
98	5.293418819
99	5.280809508
100	5.271891304
101	5.260281993
102	5.251168606
103	5.245395153
104	5.239237367
105	5.230283645
106	5.221044453
107	5.21462897
108	5.207761433
109	5.203677591
110	5.197473149
111	5.18936227
112	5.180070342
113	5.172748582
114	5.163715075
115	5.161351706
116	5.156158187
117	5.147881537
118	5.14091144
119	5.135184524
120	5.129662589
121	5.124786672
122	5.12294105
123	5.119466527
124	5.114643171
125	5.11013079
126	5.104809694
127	5.098785822
128	5.093995609
129	5.087145202
130	5.082547254
131	5.076888888
132	5.067275641
133	5.063454162
134	5.060256435
135	5.054249333
136	5.048650903
137	5.043934172
138	5.038456083
139	5.031899857
140	5.024304697
141	5.018995384
142	5.01368415
143	5.009676176
144	5.004452615
145	5.000240872
146	4.994920342
147	4.989401376
148	4.983628054
