iter	Passed	Remaining
0	155	155256
1	156	78334
2	158	52532
3	159	39649
4	160	31930
5	161	26770
6	162	23119
7	164	20392
8	165	18247
9	167	16545
10	168	15132
11	169	13977
12	171	13015
13	172	12170
14	173	11423
15	175	10805
16	177	10244
17	178	9737
18	179	9285
19	181	8875
20	182	8503
21	183	8167
22	184	7852
23	186	7580
24	187	7318
25	188	7078
26	190	6855
27	191	6658
28	193	6485
29	197	6373
30	198	6208
31	200	6053
32	201	5905
33	202	5763
34	203	5622
35	204	5487
36	205	5358
37	206	5236
38	208	5132
39	209	5030
40	212	4981
41	214	4894
42	216	4808
43	217	4723
44	218	4639
45	219	4557
46	220	4480
47	222	4417
48	224	4349
49	226	4297
50	227	4233
51	228	4170
52	230	4111
53	231	4052
54	232	3992
55	233	3936
56	234	3880
57	235	3830
58	237	3780
59	238	3730
60	239	3686
61	241	3650
62	242	3608
63	243	3566
64	244	3524
65	246	3485
66	247	3446
67	248	3410
68	249	3367
69	250	3325
70	251	3287
71	252	3250
72	253	3215
73	254	3183
74	255	3155
75	257	3125
76	258	3095
77	259	3065
78	260	3036
79	261	3009
80	262	2982
81	263	2955
82	265	2928
83	266	2900
84	267	2874
85	267	2848
86	269	2824
87	270	2802
88	271	2780
89	272	2756
90	273	2732
91	274	2709
92	275	2687
93	276	2661
94	277	2641
95	278	2623
96	279	2602
97	280	2582
98	281	2561
99	282	2541
100	283	2521
101	284	2504
102	285	2488
103	286	2471
104	288	2455
105	289	2438
106	290	2420
107	291	2404
108	292	2389
109	293	2373
110	294	2359
111	295	2345
112	297	2332
113	298	2317
114	299	2302
115	299	2285
116	301	2275
117	302	2263
118	304	2252
119	305	2240
120	306	2227
121	307	2216
122	308	2202
123	309	2188
124	310	2175
125	311	2163
126	312	2151
127	313	2138
128	315	2129
129	316	2121
130	318	2109
131	319	2098
132	320	2089
133	321	2079
134	322	2067
135	323	2057
136	325	2048
137	326	2037
138	327	2028
139	328	2018
140	329	2008
141	331	2001
142	332	1992
143	333	1983
144	336	1981
145	337	1973
146	338	1965
147	339	1955
148	340	1946
149	341	1937
